Thu Jan 18 12:39:39 2018,7,3
Thu Jan 18 12:40:27 2018,7,3
Thu Jan 18 12:46:40 2018,7,3
Thu Jan 18 12:46:56 2018,7,3
Thu Jan 18 12:49:21 2018,7,3
Thu Jan 18 13:37:46 2018,7,3
Thu Jan 18 13:53:25 2018,7,3
Thu Jan 18 13:55:54 2018,7,3
Thu Jan 18 14:08:58 2018,7,3
Thu Jan 18 14:10:57 2018,7,3
Thu Jan 18 14:13:01 2018,7,3
Thu Jan 18 14:19:28 2018,7,3
Thu Jan 18 14:22:18 2018,7,3
Thu Jan 18 14:23:10 2018,7,3
Thu Jan 18 14:23:41 2018,7,3
Thu Jan 18 14:24:04 2018,7,3
Thu Jan 18 14:28:52 2018,7,3
Thu Jan 18 14:29:24 2018,7,3
Thu Jan 18 14:30:38 2018,7,3
Thu Jan 18 14:31:05 2018,7,3
Thu Jan 18 14:32:00 2018,7,3
Thu Jan 18 14:34:17 2018,7,3
Thu Jan 18 14:34:48 2018,7,3
Thu Jan 18 14:36:12 2018,7,3
Thu Jan 18 14:50:49 2018,7,3
Fri Jan 19 12:58:46 2018,2,5
Fri Jan 19 13:34:38 2018,2,5
Fri Jan 19 14:33:04 2018,2,5
Fri Jan 19 14:33:28 2018,2,5
Sun Jan 21 16:32:12 2018,2,6
Sun Jan 21 16:34:07 2018,2,6
Sun Jan 21 16:41:42 2018,2,6
